image,pickscore
sm_1.jpg,20.472999572753906
sm_10.jpg,19.689706802368164
sm_100.jpg,20.56121826171875
sm_11.jpg,18.68800163269043
sm_12.jpg,21.235271453857422
sm_13.jpg,18.938495635986328
sm_14.jpg,18.6335391998291
sm_15.jpg,21.07389259338379
sm_16.jpg,20.886398315429688
sm_17.jpg,21.248506546020508
sm_18.jpg,22.36503028869629
sm_19.jpg,21.62989044189453
sm_2.jpg,20.25201988220215
sm_20.jpg,20.448219299316406
sm_21.jpg,20.976806640625
sm_22.jpg,21.571651458740234
sm_23.jpg,20.423988342285156
sm_24.jpg,20.0932559967041
sm_25.jpg,20.486087799072266
sm_26.jpg,20.921274185180664
sm_27.jpg,20.02707290649414
sm_28.jpg,20.496376037597656
sm_29.jpg,20.88627815246582
sm_3.jpg,20.228166580200195
sm_30.jpg,20.61695671081543
sm_31.jpg,19.876880645751953
sm_32.jpg,20.282779693603516
sm_33.jpg,20.134233474731445
sm_34.jpg,19.65816879272461
sm_35.jpg,20.75246810913086
sm_36.jpg,19.911876678466797
sm_37.jpg,20.581270217895508
sm_38.jpg,20.142532348632812
sm_39.jpg,18.60755157470703
sm_4.jpg,20.081924438476562
sm_40.jpg,20.282270431518555
sm_41.jpg,19.81138801574707
sm_42.jpg,21.010074615478516
sm_43.jpg,21.06271743774414
sm_44.jpg,21.144432067871094
sm_45.jpg,22.731504440307617
sm_46.jpg,20.4366512298584
sm_47.jpg,20.278045654296875
sm_48.jpg,20.0089111328125
sm_49.jpg,20.801820755004883
sm_5.jpg,20.10181999206543
sm_50.jpg,20.089160919189453
sm_51.jpg,19.747512817382812
sm_52.jpg,19.77621078491211
sm_53.jpg,19.923091888427734
sm_54.jpg,21.002933502197266
sm_55.jpg,20.188159942626953
sm_56.jpg,19.424358367919922
sm_57.jpg,21.10373878479004
sm_58.jpg,20.314546585083008
sm_59.jpg,19.709623336791992
sm_6.jpg,19.941635131835938
sm_60.jpg,20.343017578125
sm_61.jpg,20.42340850830078
sm_62.jpg,19.363880157470703
sm_63.jpg,20.668405532836914
sm_64.jpg,20.79875946044922
sm_65.jpg,19.816043853759766
sm_66.jpg,19.19051742553711
sm_67.jpg,20.361072540283203
sm_68.jpg,20.776546478271484
sm_69.jpg,19.454538345336914
sm_7.jpg,20.7730770111084
sm_70.jpg,19.765155792236328
sm_71.jpg,19.896337509155273
sm_72.jpg,19.838518142700195
sm_73.jpg,21.909597396850586
sm_74.jpg,19.425153732299805
sm_75.jpg,18.956703186035156
sm_76.jpg,19.72652816772461
sm_77.jpg,21.650094985961914
sm_78.jpg,20.179969787597656
sm_79.jpg,19.273366928100586
sm_8.jpg,21.41878318786621
sm_80.jpg,20.546781539916992
sm_81.jpg,20.76763343811035
sm_82.jpg,19.266950607299805
sm_83.jpg,19.267850875854492
sm_84.jpg,19.697275161743164
sm_85.jpg,19.935312271118164
sm_86.jpg,21.567554473876953
sm_87.jpg,20.470523834228516
sm_88.jpg,22.195159912109375
sm_89.jpg,20.30952262878418
sm_9.jpg,20.58115005493164
sm_90.jpg,21.449928283691406
sm_91.jpg,18.43287467956543
sm_92.jpg,20.585145950317383
sm_93.jpg,21.309001922607422
sm_94.jpg,21.439279556274414
sm_95.jpg,20.47574806213379
sm_96.jpg,20.633634567260742
sm_97.jpg,20.129060745239258
sm_98.jpg,20.054519653320312
sm_99.jpg,20.44169807434082
